MDW$Febuary$2004$130$11$1167$7241$5930$Chicago, IL: Chicago Midway International
MIA$Febuary$2004$26$13$1233$5356$4092$Miami, FL: Miami International
MSP$Febuary$2004$225$13$2660$11745$8841$Minneapolis, MN: Minneapolis-St Paul International
ORD$Febuary$2004$984$14$9260$30970$20707$Chicago, IL: Chicago O'Hare International
PDX$Febuary$2004$60$10$690$4315$3558$Portland, OR: Portland International
PHL$Febuary$2004$165$13$1572$8645$6901$Philadelphia, PA: Philadelphia International
PHX$Febuary$2004$177$15$2689$13652$10775$Phoenix, AZ: Phoenix Sky Harbor International
SAN$Febuary$2004$65$13$1100$6625$5451$San Diego, CA: San Diego International
SEA$Febuary$2004$112$13$1334$8014$6558$Seattle, WA: Seattle/Tacoma International
SFO$Febuary$2004$205$12$2366$10027$7445$San Francisco, CA: San Francisco International
SLC$Febuary$2004$193$12$2237$10785$8348$Salt Lake City, UT: Salt Lake City International
TPA$Febuary$2004$11$13$1250$5712$4441$Tampa, FL: Tampa International
ATL$March$2004$255$11$5408$34810$29114$Atlanta, GA: Hartsfield-Jackson Atlanta International
BOS$March$2004$263$16$1974$10921$8679$Boston, MA: Logan International
BWI$March$2004$44$14$1440$8897$7413$Baltimore, MD: Baltimore/Washington International Thurgood Marshall
CLT$March$2004$81$11$1074$9139$7982$Charlotte, NC: Charlotte Douglas International
DCA$March$2004$105$15$1089$7929$6732$Washington, DC: Ronald Reagan Washington National
DEN$March$2004$80$14$1439$12879$11354$Denver, CO: Denver International
DFW$March$2004$401$14$3370$29385$25536$Dallas/Fort Worth, TX: Dallas/Fort Worth International
DTW$March$2004$160$13$2227$12607$10208$Detroit, MI: Detroit Metro Wayne County
EWR$March$2004$376$14$3629$13719$9666$Newark, NJ: Newark Liberty International
FLL$March$2004$23$13$1222$6071$4819$Fort Lauderdale, FL: Fort Lauderdale-Hollywood International
IAD$March$2004$120$15$1090$8795$7584$Washington, DC: Washington Dulles International
IAH$March$2004$72$13$2856$17306$14366$Houston, TX: George Bush Intercontinental/Houston
JFK$March$2004$69$12$1552$7055$5415$New York, NY: John F. Kennedy International
LAS$March$2004$84$14$2281$13446$11069$Las Vegas, NV: McCarran International
LAX$March$2004$228$13$2556$19497$16704$Los Angeles, CA: Los Angeles International
LGA$March$2004$368$12$2375$10922$8095$New York, NY: LaGuardia
MCO$March$2004$14$15$1410$9127$7698$Orlando, FL: Orlando International
MDW$March$2004$90$11$1426$7812$6278$Chicago, IL: Chicago Midway International
MIA$March$2004$14$13$874$5791$4894$Miami, FL: Miami International
MSP$March$2004$209$14$2521$12884$10126$Minneapolis, MN: Minneapolis-St Paul International
ORD$March$2004$1085$14$11414$33217$20676$Chicago, IL: Chicago O'Hare International
PDX$March$2004$62$10$697$4751$3988$Portland, OR: Portland International
PHL$March$2004$125$14$1990$9275$7144$Philadelphia, PA: Philadelphia International
PHX$March$2004$138$15$2143$14710$12405$Phoenix, AZ: Phoenix Sky Harbor International
SAN$March$2004$59$13$1091$7203$6038$San Diego, CA: San Diego International
